id_curso;nombre;tipo;creditos;t_aprobacion;id_ciclo
2010601;DISEÑO DE SISTEMAS DE INFORMACIÓN;O;3;;18
2010602;BASE DE DATOS II;O;3;;18
2010603;GESTIÓN DE LOS PROCESOS DE NEGOCIOS;O;3;;18
2010604;COMPUTACIÓN VISUAL;O;3;;18
2010605;INTELIGENCIA ARTIFICIAL;O;3;;18
2010606;REDES Y TRANSMISIÓN DE DATOS;O;3;;18
2010607;INVESTIGACIÓN OPERATIVA I;O;3;;18
2010701;INTERFACE HOMBRE COMPUTADOR;O;3;;19
2010702;PATRONES DE CONSTRUCCIÓN DE SISTEMAS;O;2;;19
2010703;FINANZAS PARA LA GESTIÓN;O;2;;19
2010704;BASE DE DATOS III;O;3;;19
2010705;INFRAESTRUCTURA Y SEGURIDAD EN REDES;O;3;;19
2010706;PROGRAMACIÓN PARALELA;O;3;;19
2010707;INVESTIGACIÓN OPERATIVA II;O;3;;19
2010801;COMPUTACIÓN FÍSICA;O;3;;20
2010802;PROYECTO DE TESIS;O;3;;20
2010803;GESTION DE SEGURIDAD Y RIESGO DE TECNOLOGIA DE INFORMACIÓN;O;3;;20
2010804;GERENCIA DE PROYECTOS DE INFORMACIÓN;O;3;;20
2010805;ADQUISICIÓN, ADMINISTRACIÓN Y ESTRATÉGIA DE SISTEMAS DE INFORMACIÓN;O;3;;20
2010806;"TALLER DE CONSTRUCCIÓN DE
SISTEMAS";O;3;;20
2010807;MARKETING;O;2;;20
2010901;DESARROLLO DE TESIS I;O;3;;21
2010902;SISTEMAS DISTRIBUIDOS;O;3;;21
2010903;DERECHO INFORMÁTICO;O;2;;21
2010904;AUDITORIA Y CONTROL DE TECNOLOGÍA DE INFORMATICA;O;3;;21
2010905;CALIDAD Y PRUEBA DE SOFTWARE;O;3;;21
2010906;ARQUITECTURA EMPRESARIAL;O;3;;21
2011001;DESARROLLO DE TESIS II;O;3;;22
2011002;INTEGRACIÓN DE SISTEMAS;O;3;;22
2011003;SISTEMAS EMPRESARIALES;O;3;;22
2011004;DESARROLLO DE APLICACIONES DISTRIBUIDAS;O;2;;22
2011005;GERENCIA INFORMÁTICA;O;3;;22
2011006;TENDENCIAS EN SISTEMAS DE INFORMACIÓN;O;2;;22
2011101;REDES NEURONALES;E;3;;12
2011102;APLICACIÓN DE ARQUITECTURA EMPRESARIAL;E;3;;12
2011103;INGENIERÍA DE CONTROL;E;3;;12
2011104;INGENIERÍA WEB;E;3;;12
2011105;GESTIÓN DEL CONOCIMIENTO;E;3;;12
2011106;NEGOCIOS ELECTRÓNICOS;E;3;;12
2011107;SISTEMAS DE INFORMACIÓN GEOGRÁFICOS;E;3;;12
2011108;INTELIGENCIA DE NEGOCIOS;E;3;;12
2011109;ROBÓTICA;E;3;;12
2011110;SISTEMAS INTELIGENTES;E;3;;12
2011112;DANZAS I;A;1;;12
2011113;TEATRO I;A;1;;12
2011114;MÚSICA I;A;1;;12
2011115;ORATORIA I;A;1;;12
2011116;DEPORTE Y RECREACIÓN I;A;1;;12
2011117;DANZAS II;A;1;;12
2011118;TEATRO II;A;1;;12
2011119;MÚSICA II;A;1;;12
2011120;ORATORIA II;A;1;;12
2011121;DEPORTE Y RECREACIÓN II;A;1;;12
INE001;PROCESO CULTURAL ANDINO;E;2;;23
INE002;PROGRAMACIÓN Y COMPUTACIÓN;E;2;;23
INE003;DIBUJO TÉCNICO;E;2;;23
INE004;INGLÉS PARA ESCRITURA ACADÉMICA;E;2;;23
INE005;MATLAB;E;2;;23
INE006;CÁLCULOS BÁSICOS EN QUÍMICA;E;2;;23
INE007;SEGURIDAD E HIGIENE EN LABORATORIO;E;2;;23
INE008;FUNDAMENTOS DE RIESGOS DE DESASTRES Y CAMBIO CLIMÁTICO;E;2;;23
INE009;GEOGRAFIA ECONÓMICA DEL PERÚ;E;2;;23
INE010;CIUDADANÍA Y DERECHOS FUNDAMENTALES;E;2;;23
INE011;TALLER DE ELECTRICIDAD Y ELECTRONICA;E;2;;23
INE012;ECONOMIA GENERAL;E;2;;23
INE013;EMPRENDIMIENTO E INNOVACIÓN;E;2;;23
INE014;TALLER DE MÚSICA;E;2;;23
INE015;TALLER DE DANZA;E;2;;23
INE016;APRECIACIÓN DE CINE;E;2;;23
INE017;QUECHUA;E;2;;23
INO101;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;O;3;;23
INO102;MÉTODOS DE ESTUDIO UNIVERSITARIO;O;2;;23
INO103;DESARROLLO PERSONAL Y LIDERAZGO;O;2;;23
INO104;CÁLCULO I;O;4;;23
INO105;BIOLOGÍA PARA CIENCIAS E INGENIERÍA;O;4;;23
INO106;ÁLGEBRA Y GEOMETRÍA ANALÍTICA;O;4;;23
INO107;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;O;3;;23
INO201;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA II;O;3;;24
INO202;INVESTIGACIÓN FORMATIVA;O;3;;24
INO203;REALIDAD NACIONAL Y MUNDIAL;O;2;;24
INO204;CÁLCULO II;O;4;;24
INO205;FÍSICA I;O;4;;24
INO206;QUÍMICA GENERAL;O;4;;24
INO207;INTRODUCCIÓN A LAS CIENCIAS E INGENIERÍA;O;2;;24
20118031;PROGRAMACIÓN Y FUNDAMENTOS DE ALGORITMICA;O;4;;25
20118032;TEORÍA GENERAL DE SISTEMAS;O;3;;25
20118033;ORGANIZACIÓN Y ADMINISTRACIÓN;O;3;;25
20118034;INGENIERÍA ECONOMICA;O;3;;25
20118035;ESTADISTICA;O;3;;25
20118036;SERIES Y ECUACIONES DIFERENCIALES;O;3;;25
20118037;MATEMÁTICAS DISCRETAS;O;3;;25
20118041;ALGORÍTMICA Y PROGRAMACIÓN ORIENTADA A OBJETOS;O;4;;26
20118042;MARKETING;O;2;;26
20118043;CONTABILIDAD GENERAL;O;3;;26
20118044;PROCESOS DE NEGOCIOS;O;3;;26
20118045;METODOS NUMERICOS;O;3;;26
20118046;PROBABILIDADES Y MUESTERO;O;3;;26
20118047;FISICA ELECTRONICA Y SISTEMAS DIGITALES;O;3;;26
20118051;BASE DE DATOS;O;4;;27
20118052;DISEÑO Y ANALISIS DE ALGORITMOS;O;3;;27
20118053;ESTRUCTURA DE DATOS;O;3;;27
20118054;ANALISIS DE SISTEMAS DE INFORMACIÓN;O;3;;27
20118055;MODELOS Y SIMULACIÓN;O;3;;27
20118056;ARQUITECTURA DE COMPUTADORAS;O;3;;27
20118057;LENGUAJES Y COMPILADORES;O;3;;27
20118061;BIG DATA;O;3;;28
20118062;COMPUTACIÓN VISUAL;O;3;;28
20118063;FINANZAS PARA LA GESTIÓN;O;3;;28
20118064;DISEÑO DE SISTEMAS DE INFORMACIÓN;O;3;;28
20118065;INVESTIGACIÓN OPERATIVA;O;3;;28
20118066;REDES, TRANSMISIÓN Y AUTOMATIZACIÓN Y CONTROL;O;4;;28
20118067;SISTEMAS OPERATIVOS;O;3;;28
20118071;INTERACCIÓN HOMBRE COMPUTADOR;O;3;;29
20118072;INTELIGENCIA DE NEGOCIOS;O;3;;29
20118073;DESARROLLO DE SISTEMAS WEB;O;3;;29
20118074;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;O;3;;29
20118075;INTELIGENCIA ARTIFICIAL;O;3;;29
20118076;INTERNET DE LAS COSAS;O;3;;29
20118077;PROGRAMACIÓN PARALELA;O;3;;29
20118081;METODOLOGIA DE LA ELABORACIÓN DE TESIS;O;3;;30
20118082;SISTEMAS DISTRIBUIDOS;O;3;;30
20118083;DESARROLLO DE SISTEMAS MÓVILES;O;3;;30
20118084;INGENIERIA DE LA INFORMACIÓN;O;4;;30
20118085;GESTIÓN DE PROYECTOS DE TECNOLOGÍAS DE LA INFORMACIÓN;O;3;;30
20118086;SISTEMAS INTELIGENTES;O;3;;30
20118087;AUDITORIA Y SEGURIDAD DE TECNOLOGÍAS DE INFORMACIÓN;O;3;;30
20118091;DESARROLLO DE PROYECTOS DE TESIS;O;2;;31
20118092;MINERIA DE DATOS;O;3;;31
20118093;TALLER DE APLICACIONES DISTRIBUIDAS;O;3;;31
20118094;INNOVACIÓN, CAMBIO ORGANIZACIONAL Y EMPRENDIMIENTO;O;4;;31
20118095;ARQUITECTURA EMPRESARIAL;O;3;;31
20118096;ETICA Y DERECHO INFORMÁTICO;O;2;;31
20118097;TENDENCIAS EN SISTEMAS DE INFORMACIÓN;O;3;;31
20118101;DESARROLLO DE PROYECTOS DE TESIS II;O;2;;32
20118102;PRACTICA PRE PROFESIONAL;O;4;;32
20118103;GESTIÓN DE CONOCIMIENTO;O;3;;32
20118104;PLANEAMIENTO DE RECURSOS EMPRESARIALES;O;3;;32
20118105;GERENCIA INFORMÁTICA;O;2;;32
2020101;INTRODUCCION A LA TEORIA GENERAL DE SISTEMAS;O;3;;44
2020102;INTRODUCCION A LA COMPUTACION E INGENIERIA DE SOFTWARE;O;4;;44
2020103;CALCULO I;O;4;;44
2020104;MATEMATICA BASICA I;O;4;;44
2020105;COMUNICACIÓN Y DINAMICA DE GRUPO;O;2;;44
2020106;IDIOMA EXTRANJERO I;O;3;;44
2020201;PROGRAMACIÓN I;O;4;;45
2020202;MATEMÁTICAS DISCRETAS;O;3;;45
2020203;CALCULO II;O;4;;45
2020204;MATEMATICA BASICA II;O;4;;45
2020205;FISICA I;O;4;;45
2020206;IDIOMA EXTRANJERO II;O;3;;45
2020301;PROGRAMACIÓN II;O;4;;46
2020302;SERIES Y ECUACIONES DIFERENCIALES;O;4;;46
2020303;ESTADISTICA Y PROBABILIDADES;O;4;;46
2020304;FISICA II;O;4;;46
2020305;ORGANIZACIÓN Y ADMINISTRACION;O;3;;46
2020306;IDIOMA EXTRANJERO III;O;3;;46
2020401;ANÁLISIS Y DISEÑO DE ALGORITMOS;O;4;;47
2020402;ESTRUCTURA DE DATOS I;O;4;;47
2020403;MÉTODOS NUMÉRICOS;O;4;;47
2020404;SISTEMAS DIGITALES;O;4;;47
2020405;ECONOMIA PARA GESTION;O;3;;47
2020406;IDIOMA EXTRANJERO IV;O;3;;47
2020501;BASE DE DATOS I;O;4;;48
2020502;ESTRUCTURA DE DATOS II;O;4;;48
2020503;ARQUITECTURA DE COMPUTADORAS;O;4;;48
2020504;MODELAMIENTO Y REQUISITOS DE SOFTWARE;O;4;;48
2020505;LENGUAJES Y COMPILADORES;O;3;;48
2020506;IDIOMA EXTRANJERO V;O;3;;48
2020601;BASE DE DATOS II;O;4;;49
