id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
262;17200071;2;AM ;RD N°126-D-FISI-19                      
263;14200066;2;AM ;RD N°126-D-FISI-19                      
264;14200066;2;AM ;RD N°126-D-FISI-19                      
265;17200136;2;AM ;RD N°126-D-FISI-19                      
266;15200006;2;AM ;RD N°126-D-FISI-19                      
267;15200006;2;AM ;RD N°126-D-FISI-19                      
268;15200006;2;AM ;RD N°126-D-FISI-19                      
269;13200093;2;AM ;RD N°126-D-FISI-19                      
270;13200093;2;AM ;RD N°126-D-FISI-19                      
271;13200138;2;AM ;RD N°126-D-FISI-19                      
272;14200007;2;AM ;RD N°126-D-FISI-19                      
273;14200007;2;AM ;RD N°126-D-FISI-19                      
274;09200187;2;AM ;RD N°126-D-FISI-19                      
275;09200187;2;AM ;RD N°126-D-FISI-19                      
276;16200006;2;AM ;RD N°126-D-FISI-19                      
277;12200145;2;AM ;RD N°126-D-FISI-19                      
278;12200145;2;AM ;RD N°126-D-FISI-19                      
279;12200145;2;AM ;RD N°126-D-FISI-19                      
280;17200042;2;AM ;RD N°126-D-FISI-19                      
281;16200170;2;AM ;RD N°126-D-FISI-19                      
282;10200084;2;AM ;RD N°126-D-FISI-19                      
283;09200193;2;AM ;RD N°126-D-FISI-19                      
284;14200128;2;AM ;RD N°126-D-FISI-19                      
285;14200073;2;AM ;RD N°126-D-FISI-19                      
286;17200019;2;AM ;RD N°126-D-FISI-19                      
287;16200112;2;AM ;RD N°126-D-FISI-19                      
288;15200048;2;AM ;RD N°126-D-FISI-19                      
289;12200079;2;AM ;RD N°126-D-FISI-19                      
290;12200079;2;AM ;RD N°126-D-FISI-19                      
291;12200079;2;AM ;RD N°126-D-FISI-19                      
292;15200012;2;AM ;RD N°126-D-FISI-19                      
293;10200088;2;AM ;RD N°126-D-FISI-19                      
294;13200149;2;AM ;RD N°126-D-FISI-19                      
295;14200130;2;TO ;RD N°126-D-FISI-19                      
296;15200164;2;AM ;RD N°126-D-FISI-19                      
297;17200069;2;TO ;RD N°126-D-FISI-19                      
298;13200082;2;TO ;RD 174-D-FISI-19                        
299;11200054;2;AM ;RD N°174-D-FISI-19                      
300;11200054;2;AM ;RD N°174-D-FISI-19                      
301;15200114;2;AM ;RD N°126-D-FISI-19                      
302;15200114;2;AM ;RD N°126-D-FISI-19                      
303;13200014;2;AM ;RD N°126-D-FISI-19                      
304;11200063;2;AM ;RD N 126-D-FISI-19                      
