id_tutoria;id_estudiante;id_semestre;tipo_autorizacion;num_res_autoriza
103.0;17200175.0;2.0;TO ;RD 125-D-FISI-19
104.0;17200237.0;2.0;TO ;RD 125-D-FISI-19
105.0;17200237.0;2.0;TO ;RD 125-D-FISI-19
106.0;17200237.0;2.0;TO ;RD 125-D-FISI-19
107.0;17200176.0;2.0;TO ;RD 125-D-FISI-19
108.0;17200048.0;2.0;TO ;RD 125-D-FISI-19
109.0;17200048.0;2.0;TO ;RD 125-D-FISI-19
110.0;14200104.0;2.0;TO ;RD 125-D-FISI-19
111.0;16200139.0;2.0;TO ;RD 125-D-FISI-19
112.0;12200164.0;2.0;TO ;RD 125-D-FISI-19
113.0;10200224.0;2.0;TO ;RD 125-D-FISI-19
114.0;17200177.0;2.0;TO ;RD 125-D-FISI-19
115.0;17200177.0;2.0;TO ;RD 125-D-FISI-19
116.0;13200172.0;2.0;TO ;RD 125-D-FISI-19
117.0;17200180.0;2.0;TO ;RD 125-D-FISI-19
118.0;17200180.0;2.0;TO ;RD 125-D-FISI-19
119.0;17200180.0;2.0;TO ;RD 125-D-FISI-19
120.0;17200180.0;2.0;TO ;RD 125-D-FISI-19
121.0;14200026.0;2.0;TO ;RD 125-D-FISI-19
122.0;13200206.0;2.0;TO ;RD 125-D-FISI-19
123.0;16200145.0;2.0;TO ;RD 125-D-FISI-19
124.0;11200098.0;2.0;TO ;RD 125-D-FISI-19
125.0;15200176.0;2.0;TO ;RD 125-D-FISI-19
126.0;15200176.0;2.0;TO ;RD 125-D-FISI-19
127.0;13200202.0;2.0;TO ;RD 125-D-FISI-19
128.0;16200149.0;2.0;TO ;RD 125-D-FISI-19
129.0;16200149.0;2.0;TO ;RD 125-D-FISI-19
130.0;17200067.0;2.0;TO ;RD 125-D-FISI-19
131.0;17200067.0;2.0;TO ;RD 125-D-FISI-19
132.0;17200188.0;2.0;AM ;RD 125-D-FISI-19
133.0;15200176.0;2.0;TO ;RD 125-D-FISI-19
134.0;15200034.0;2.0;TO ;RD 125-D-FISI-19
135.0;14200034.0;2.0;TO ;RD 125-D-FISI-19
136.0;15200142.0;2.0;TO ;RD 125-D-FISI-19
137.0;15200142.0;2.0;TO ;RD 125-D-FISI-19
138.0;13200175.0;2.0;TO ;RD 125-D-FISI-19
139.0;15200176.0;2.0;TO ;RD 125-D-FISI-19
140.0;14200109.0;2.0;TO ;RD 125-D-FISI-19
141.0;14200109.0;2.0;TO ;RD 125-D-FISI-19
142.0;15200057.0;2.0;TO ;RD 125-D-FISI-19
143.0;15200036.0;2.0;TO ;RD 125-D-FISI-19
144.0;14200148.0;2.0;TO ;RD 125-D-FISI-19
145.0;17200241.0;2.0;TO ;RD 125-D-FISI-19
146.0;17200241.0;2.0;TO ;RD 125-D-FISI-19
147.0;11200103.0;2.0;AM ;RD 125-D-FISI-19
148.0;15200152.0;2.0;TO ;RD 125-D-FISI-19
149.0;15200152.0;2.0;TO ;RD 125-D-FISI-19
150.0;15200152.0;2.0;TO ;RD 125-D-FISI-19
151.0;16200185.0;2.0;TO ;RD 125-D-FISI-19
152.0;14200178.0;2.0;TO ;RD 125-D-FISI-19
153.0;14200178.0;2.0;TO ;RD 125-D-FISI-19
154.0;17200199.0;2.0;TO ;RD 125-D-FISI-19
155.0;17200199.0;2.0;TO ;RD 125-D-FISI-19
156.0;14200040.0;2.0;TO ;RD 125-D-FISI-19
157.0;14200115.0;2.0;TO ;RD 125-D-FISI-19
158.0;14200115.0;2.0;TO ;RD 125-D-FISI-19
159.0;13200041.0;2.0;TO ;RD 125-D-FISI-19
160.0;13200041.0;2.0;TO ;RD 125-D-FISI-19
161.0;11200193.0;2.0;TO ;RD 125-D-FISI-19
162.0;15200061.0;2.0;AM ;RD 125-D-FISI-19
163.0;16200159.0;2.0;TO ;RD 125-D-FISI-19
164.0;15200188.0;2.0;TO ;RD 125-D-FISI-19
165.0;14200159.0;2.0;TO ;RD 125-D-FISI-19
166.0;17200244.0;2.0;TO ;RD 125-D-FISI-19
167.0;17200008.0;2.0;TO ;RD 125-D-FISI-19
168.0;17200008.0;2.0;TO ;RD 125-D-FISI-19
169.0;14200162.0;2.0;TO ;RD 125-D-FISI-19
170.0;17200015.0;2.0;TO ;RD 125-D-FISI-19
171.0;17200015.0;2.0;TO ;RD 125-D-FISI-19
172.0;16200164.0;2.0;TO ;RD 125-D-FISI-19
173.0;14200089.0;2.0;TO ;RD 125-D-FISI-19
174.0;17200165.0;2.0;TO ;RD 125-D-FISI-19
175.0;12200021.0;2.0;TO ;RD 125-D-FISI-19
176.0;16200136.0;2.0;AM ;RD 125-D-FISI-19
177.0;16200136.0;2.0;AM ;RD 125-D-FISI-19
178.0;16200024.0;2.0;TO ;RD 125-D-FISI-19
179.0;11200189.0;2.0;TO ;RD 125-D-FISI-19
180.0;16200050.0;2.0;TO ;RD 125-D-FISI-19
181.0;16200050.0;2.0;TO ;RD 125-D-FISI-19
182.0;10200203.0;2.0;TO ;RD 125-D-FISI-19
183.0;10200150.0;2.0;TO ;RD 138-D-FISI-19
184.0;15200047.0;2.0;TO ;RD 138-D-FISI-19
185.0;13200150.0;2.0;TO ;RD 138-D-FISI-19
186.0;13200150.0;2.0;TO ;RD 138-D-FISI-19
187.0;17200069.0;2.0;TO ;RD 138-D-FISI-19
188.0;17200069.0;2.0;TO ;RD 138-D-FISI-19
189.0;17200152.0;2.0;TO ;RD 138-D-FISI-19
