id_estudiante;id_curso;n_reprobaciones;id_semestre
14200137;2010707 ;1;2
14200137;2010807 ;1;2
11200079;205006  ;2;2
17200230;2010305 ;1;2
14200089;2010303 ;1;2
11200079;209007  ;2;2
14200089;2010304 ;2;2
14200089;2010306 ;1;2
14200089;2011115 ;1;2
16200021;2010204 ;2;2
13200080;201210  ;1;2
16200021;2010302 ;5;2
16200021;2010401 ;2;2
16200021;2010405 ;1;2
16200021;2010503 ;1;2
14200092;2010604 ;2;2
14200092;2010704 ;1;2
14200092;2010802 ;1;2
13200041;201101  ;1;2
13200080;205006  ;2;2
12200129;201101  ;2;2
13200041;207002  ;3;2
15200041;2010604 ;2;2
13200080;206011  ;1;2
13200041;208008  ;3;2
17200243;2010303 ;2;2
12200129;201106  ;1;2
13200080;208008  ;1;2
17200214;2010303 ;2;2
17200243;2010402 ;1;2
17200243;2010406 ;1;2
16200037;2010304 ;2;2
17200214;2010401 ;2;2
16200037;2010404 ;1;2
16200037;2010405 ;1;2
16200037;2010406 ;1;2
16200037;2010501 ;1;2
16200037;2011115 ;1;2
12200129;209007  ;3;2
17200051;2010203 ;3;2
17200051;2010204 ;2;2
17200051;2010205 ;1;2
17200051;2010401 ;1;2
17200051;2011115 ;1;2
14200159;2010705 ;2;2
14200159;2010805 ;2;2
14200159;2011116 ;1;2
17200237;2010205 ;3;2
17200237;2010304 ;1;2
17200237;2010306 ;2;2
17200183;2010302 ;1;2
17200183;2010305 ;2;2
16200137;2010402 ;1;2
16200137;2010405 ;1;2
16200137;2010406 ;2;2
16200136;2010402 ;2;2
16200137;2010501 ;1;2
15200131;2010405 ;3;2
16200136;2010405 ;1;2
15200131;2010505 ;1;2
15200131;2010506 ;1;2
15200131;2010603 ;1;2
15200131;2010703 ;1;2
16200136;2010503 ;2;2
16200137;2011113 ;1;2
14200104;2010501 ;3;2
16200151;2010402 ;2;2
16200151;2010405 ;2;2
16200151;2010406 ;1;2
16200151;2011113 ;1;2
12200014;209007  ;2;2
09200001;201101  ;1;2
16200143;2010405 ;2;2
16200149;2010204 ;4;2
16200143;2010504 ;2;2
16200143;2010601 ;1;2
16200143;2010604 ;1;2
16200143;2010606 ;1;2
14200002;2010303 ;4;2
16200149;2010302 ;1;2
16200149;2010305 ;1;2
15200033;2010601 ;1;2
16200149;2011115 ;1;2
15200033;2010607 ;2;2
15200033;2010701 ;1;2
14200109;2010302 ;3;2
14200109;2010303 ;1;2
14200109;2010304 ;1;2
14200109;2010305 ;3;2
14200109;2010405 ;1;2
14200109;2010501 ;1;2
14200109;2010503 ;1;2
14200002;2010501 ;3;2
09200001;209007  ;2;2
14200002;2010604 ;1;2
14200002;2010703 ;2;2
14200002;2010706 ;1;2
16200105;2010204 ;3;2
16200105;2010305 ;1;2
16200105;2010405 ;1;2
16200105;2010503 ;2;2
15200103;2010601 ;2;2
15200103;2010606 ;2;2
16200105;2010601 ;1;2
16200105;2011113 ;1;2
14200148;2010405 ;1;2
14200148;2010501 ;2;2
14200148;2010505 ;3;2
14200148;2010603 ;1;2
14200148;2010704 ;1;2
14200148;2010707 ;1;2
14200148;2010801 ;1;2
14200148;2011115 ;1;2
16200183;2010402 ;2;2
16200183;2010403 ;2;2
16200183;2010406 ;1;2
16200183;2010504 ;1;2
16200183;2010507 ;1;2
11200061;201203M ;1;2
11200061;201205  ;1;2
11200061;201208  ;1;2
16200115;2010303 ;2;2
16200115;2010405 ;1;2
11200061;208008  ;3;2
17200216;2010304 ;2;2
17200216;2010404 ;1;2
10200238;205008  ;2;2
10200238;205009  ;2;2
14200122;2010601 ;2;2
14200122;2010605 ;1;2
17200043;2010306 ;1;2
16200159;2010304 ;2;2
17200043;2010204 ;2;2
16200159;2010401 ;1;2
16200159;2010302 ;2;2
17200043;2010302 ;1;2
17200175;2010203 ;3;2
17200175;2010204 ;1;2
17200175;2010205 ;1;2
15200148;2010204 ;4;2
17200175;2010207 ;1;2
17200175;2011115 ;1;2
17200175;2011116 ;1;2
15200148;2010205 ;2;2
15200148;2010302 ;1;2
15200148;2010405 ;1;2
14200035;2010502 ;1;2
14200035;2010505 ;1;2
14200035;2010507 ;2;2
15200164;2010504 ;1;2
15200164;2010505 ;2;2
15200164;2010507 ;2;2
15200164;2010601 ;1;2
15200164;2010602 ;1;2
15200164;2010606 ;1;2
14200026;2010601 ;2;2
14200026;2010807 ;1;2
13200091;201203M ;1;2
10200078;208008  ;1;2
17200178;2010502 ;1;2
11200009;201105  ;2;2
11200200;201204  ;1;2
10200224;209007  ;3;2
12200097;201203M ;1;2
17200158;2010304 ;1;2
11200109;201105  ;1;2
17200205;2010402 ;1;2
17200071;2010402 ;1;2
17200071;2010501 ;1;2
12200097;205007  ;3;2
12200097;205009  ;6;2
15200181;2010205 ;3;2
12200097;206010  ;1;2
15200181;2010301 ;3;2
15200181;2010302 ;3;2
15200181;2010303 ;2;2
12200148;208003  ;1;2
12200148;208008  ;1;2
12200148;208010  ;1;2
15200181;2010304 ;1;2
15200181;2010306 ;3;2
16200125;2010302 ;1;2
17200206;2010401 ;1;2
17200206;2010503 ;1;2
17200139;2010401 ;1;2
17200179;2010503 ;1;2
16200174;2010401 ;1;2
16200174;2010402 ;1;2
16200174;2011115 ;1;2
17200139;2010507 ;1;2
17200058;2010503 ;1;2
16200170;2010504 ;1;2
17200058;2010507 ;1;2
17200125;2010504 ;1;2
17200044;2010504 ;1;2
17200072;2010405 ;1;2
17200131;2011115 ;1;2
17200072;2010501 ;1;2
17200070;2010503 ;1;2
17200016;2010502 ;1;2
17200016;2010503 ;1;2
17200185;2010503 ;1;2
17200185;2010504 ;1;2
17200035;2010502 ;1;2
17200009;2010502 ;1;2
17200227;2010502 ;1;2
17200131;2010502 ;1;2
16200049;2010607 ;1;2
16200014;2010706 ;1;2
16200014;2010707 ;1;2
16200119;2010703 ;1;2
17200221;2010504 ;1;2
16200160;2010703 ;1;2
17200249;2010506 ;1;2
17200249;2010507 ;1;2
16200119;2010707 ;1;2
16200181;2010607 ;1;2
18200185;20118031;1;2
16200140;2010707 ;1;2
15200190;2010707 ;1;2
15200137;2010707 ;1;2
15200137;2010903 ;1;2
18200185;20118035;1;2
16200194;2011116 ;1;2
18200185;20118036;1;2
14200119;2010605 ;1;2
18200185;20118037;1;2
14200146;2010707 ;1;2
14200024;2010903 ;1;2
15200007;2010707 ;1;2
18200183;20118031;1;2
14200020;2010802 ;1;2
14200168;2010802 ;1;2
14200168;2010903 ;1;2
14200168;2011120 ;1;2
15200021;2010802 ;1;2
15200021;2010903 ;1;2
18200183;20118036;1;2
14200069;2010802 ;1;2
14200063;2010802 ;1;2
14200069;2010905 ;1;2
14200063;2010903 ;1;2
16200020;2010703 ;1;2
18200189;20118036;1;2
18200043;20118031;1;2
18200043;20118036;1;2
18200210;20118031;1;2
18200210;20118036;1;2
18200038;20118031;1;2
14200021;2011005 ;1;2
18200169;20118031;1;2
18200169;20118032;1;2
18200169;20118033;1;2
18200169;20118035;1;2
18200190;20118033;1;2
18200139;20118033;1;2
18200129;20118033;1;2
18200134;20118031;1;2
18200134;20118032;1;2
18200134;20118033;1;2
18200134;20118034;1;2
18200134;20118035;1;2
18200134;20118036;1;2
18200134;20118037;1;2
18200045;20118031;1;2
18200045;20118032;1;2
18200198;20118031;1;2
18200017;20118034;1;2
18200156;20118031;1;2
18200207;20118031;1;2
18200207;20118032;1;2
18200207;20118033;1;2
18200207;20118035;1;2
18200246;20118031;1;2
16200017;2010405 ;1;2
16200017;2010504 ;2;2
16200017;2010601 ;2;2
16200017;2011115 ;1;2
11200098;202003  ;5;2
16200123;2010204 ;4;2
12200171;201204  ;2;2
16200123;2010302 ;3;2
16200139;2010204 ;5;2
16200123;2010305 ;1;2
16200123;2010306 ;1;2
17200067;2010302 ;2;2
16200139;2010302 ;2;2
16200139;2011113 ;1;2
16200148;2010601 ;2;2
15200040;2010204 ;2;2
15200040;2010205 ;1;2
15200152;2010201 ;1;2
15200152;2010202 ;1;2
15200152;2010203 ;3;2
15200152;2010204 ;3;2
15200152;2010205 ;3;2
15200152;2010206 ;2;2
15200040;2010206 ;2;2
15200040;2010301 ;1;2
16200148;2010602 ;1;2
12200171;206007  ;4;2
16200148;2010604 ;1;2
12200171;207009  ;1;2
16200148;2010606 ;1;2
15200142;2010302 ;3;2
14200178;2010401 ;4;2
15200142;2010303 ;2;2
15200142;2010304 ;1;2
15200142;2010305 ;2;2
17200067;2010201 ;2;2
17200067;2010204 ;4;2
15200034;2010504 ;2;2
14200178;2010607 ;1;2
13200187;201104  ;2;2
15200034;2010505 ;1;2
15200034;2010601 ;1;2
15200034;2010606 ;1;2
15200034;2011116 ;1;2
16200176;2010304 ;1;2
16200176;2010305 ;2;2
16200176;2010402 ;1;2
16200176;2010405 ;2;2
16200176;2010501 ;2;2
16200176;2010603 ;1;2
16200106;2010201 ;1;2
16200106;2010203 ;2;2
16200106;2010204 ;2;2
16200106;2010205 ;1;2
16200106;2010206 ;2;2
11200174;201105  ;2;2
09200109;201105  ;2;2
09200176;201101  ;2;2
17200013;2010302 ;2;2
17200013;2010303 ;2;2
16200050;2010401 ;3;2
17200013;2010304 ;1;2
16200050;2010405 ;2;2
16200050;2010503 ;1;2
11200193;202003  ;1;2
09200187;203001  ;3;2
17200013;2010401 ;1;2
09200187;203005  ;2;2
14200060;2010706 ;2;2
14200060;2010802 ;1;2
13200093;204001  ;3;2
13200093;204007  ;3;2
17200013;2010403 ;1;2
13200093;205006  ;3;2
13200093;205007  ;2;2
13200093;205009  ;1;2
13200093;205010  ;2;2
17200013;2010405 ;1;2
10200073;208008  ;3;2
14200040;2010405 ;1;2
14200040;2010501 ;2;2
14200040;2010502 ;1;2
09200187;205006  ;3;2
09200187;205010  ;1;2
16200196;2010405 ;2;2
11200193;202007  ;2;2
17200177;2010204 ;4;2
17200045;2010303 ;2;2
17200045;2010305 ;1;2
17200024;2010302 ;3;2
17200045;2010402 ;2;2
13200008;201105  ;2;2
17200180;2010201 ;2;2
17200177;2010302 ;1;2
17200024;2010305 ;3;2
17200180;2010204 ;3;2
17200024;2010405 ;1;2
17200024;2010501 ;1;2
15200191;204002  ;2;2
17200068;2010303 ;2;2
12200145;208008  ;2;2
12200145;208010  ;2;2
16200024;2010304 ;3;2
17200226;2010204 ;2;2
09200211;201211  ;2;2
15200191;205009  ;1;2
17200054;2010302 ;2;2
15200191;207009  ;1;2
17200054;2010303 ;3;2
16200024;2010507 ;1;2
16200024;2010601 ;1;2
17200054;2010304 ;3;2
16200024;2010603 ;1;2
17200054;2010305 ;3;2
17200054;2010306 ;1;2
17200226;2010305 ;1;2
13200159;201203M ;3;2
17200226;2010405 ;1;2
17200226;2010503 ;1;2
17200226;2010505 ;1;2
11200076;201106  ;1;2
17200160;2010203 ;3;2
14200132;2010502 ;1;2
17200160;2010204 ;1;2
14200132;2010504 ;2;2
14200132;2010505 ;1;2
17200160;2010205 ;1;2
17200160;2010206 ;3;2
14200132;2010606 ;1;2
14200132;2010805 ;1;2
17200160;2010301 ;1;2
17200160;2011115 ;1;2
11200076;203005  ;1;2
11200076;205006  ;1;2
11200076;206007  ;2;2
15200176;2010302 ;3;2
15200176;2010303 ;3;2
15200176;2010304 ;3;2
15200176;2010405 ;1;2
13200159;207003  ;1;2
15200176;2010406 ;1;2
13200159;207009  ;1;2
13200159;207010  ;2;2
10200120;201105  ;2;2
10200120;201207  ;1;2
10200120;201208  ;1;2
12200112;205007  ;5;2
12200112;208007  ;1;2
12200112;208010  ;1;2
17200202;2010205 ;2;2
17200202;2010303 ;1;2
17200202;2010304 ;1;2
17200202;2010401 ;1;2
17200202;2010402 ;1;2
16200178;2010303 ;3;2
14200091;2010302 ;7;2
14200091;2010303 ;7;2
16200177;2010302 ;3;2
16200023;2010206 ;2;2
16200177;2010501 ;2;2
16200177;2010503 ;2;2
09200176;209006  ;3;2
09200176;209007  ;2;2
14200091;2010405 ;2;2
16200177;2011115 ;1;2
16200178;2010606 ;1;2
17200008;2010203 ;3;2
15200175;2010404 ;2;2
15200175;2010606 ;2;2
12200021;205006  ;2;2
12200021;205007  ;4;2
12200021;205008  ;2;2
14200103;2010607 ;2;2
12200021;206001  ;2;2
12200021;206007  ;1;2
14200103;2011006 ;1;2
13200176;201210  ;1;2
13200176;201101  ;2;2
13200176;209007  ;1;2
10200150;205006  ;1;2
10200150;206001  ;1;2
10200150;206010  ;3;2
10200150;207003  ;1;2
10200150;207007  ;2;2
10200150;207008  ;2;2
15200056;2010707 ;2;2
16200134;2010603 ;2;2
16200134;2010703 ;1;2
16200134;2010704 ;1;2
16200134;2010707 ;1;2
18200246;20118032;1;2
18200246;20118035;1;2
18200173;20118033;1;2
18200173;20118036;1;2
19200117;2011110 ;1;2
11200083;201211  ;1;2
13200003;209005M ;1;2
11200054;203004  ;2;2
11200054;203006  ;2;2
11200054;204004  ;1;2
18200200;20118031;1;2
16200164;2010301 ;1;2
16200164;2010303 ;1;2
17200157;2010501 ;1;2
14200022;2011104 ;1;2
17200157;2010503 ;1;2
18200200;20118036;1;2
17200172;2010501 ;1;2
17200057;2010304 ;1;2
17200057;2010404 ;1;2
15200057;2010401 ;1;2
15200057;2010406 ;1;2
15200057;2010504 ;1;2
17200171;2010603 ;1;2
17200017;2010504 ;1;2
16200006;2010405 ;1;2
16200185;2010404 ;1;2
16200185;2010405 ;1;2
16200185;2010505 ;1;2
15200129;2010404 ;1;2
15200129;2010405 ;1;2
15200129;2010506 ;1;2
15200049;2011120 ;1;2
16200006;2010607 ;1;2
16200117;2010703 ;1;2
15200153;2011005 ;1;2
18200200;20118033;1;2
15200102;2010505 ;1;2
16200141;2010707 ;1;2
18200202;20118031;1;2
15200026;2011116 ;1;2
18200152;20118034;1;2
15200149;2011103 ;1;2
18200163;20118031;1;2
15200110;2010802 ;1;2
18200163;20118034;1;2
18200122;20118033;1;2
18200065;20118033;1;2
18200065;20118036;1;2
18200065;20118037;1;2
18200233;20118036;1;2
18200025;20118031;1;2
18200025;20118033;1;2
18200025;20118036;1;2
18200120;20118031;1;2
18200120;20118032;1;2
18200120;20118033;1;2
18200171;20118033;1;2
18200171;20118034;1;2
18200171;20118036;1;2
18200208;20118031;1;2
18200208;20118032;1;2
18200208;20118034;1;2
18200192;20118031;1;2
18200192;20118034;1;2
18200236;20118033;1;2
18200236;20118034;1;2
18200030;20118031;1;2
18200030;20118034;1;2
18200030;20118036;1;2
18200067;20118033;1;2
18200067;20118036;1;2
18200015;20118031;1;2
18200015;20118033;1;2
18200015;20118036;1;2
18200212;20118033;1;2
18200031;20118031;1;2
18200031;20118032;1;2
18200031;20118033;1;2
18200031;20118034;1;2
18200174;20118031;1;2
10200205;201103  ;1;2
10200085;201103  ;1;2
10200085;201203M ;1;2
09200027;201211  ;1;2
12200150;201105  ;1;2
17200061;2010503 ;1;2
17200065;2010405 ;1;2
17200065;2010501 ;1;2
17200061;2010504 ;1;2
13200100;209006  ;1;2
09200027;208008  ;1;2
10200085;209006  ;1;2
10200085;209007  ;1;2
10200089;208003  ;1;2
16200016;2010302 ;1;2
17200146;2010401 ;1;2
14200034;2010301 ;1;2
14200034;2010302 ;1;2
14200034;2010303 ;3;2
14200034;2010304 ;1;2
17200146;2010504 ;1;2
14200011;2010305 ;2;2
17200062;2010303 ;1;2
17200062;2010305 ;1;2
16200145;2010303 ;3;2
16200145;2010405 ;2;2
16200145;2010506 ;1;2
17200062;2010501 ;1;2
14200011;2010401 ;2;2
17200146;2010507 ;1;2
14200011;2010503 ;2;2
17200234;2010504 ;1;2
17200153;2010402 ;1;2
17200153;2010405 ;1;2
17200153;2010504 ;1;2
17200029;2010404 ;1;2
17200029;2010502 ;1;2
17200159;2010503 ;1;2
17200170;2010504 ;1;2
17200061;2010405 ;1;2
18200159;20118033;1;2
16200112;2010405 ;1;2
18200159;20118036;1;2
14200036;2010707 ;1;2
16200030;2010707 ;1;2
18200159;20118037;1;2
18200133;20118031;1;2
16200112;2010707 ;1;2
14200093;2011116 ;1;2
16200187;2010502 ;1;2
16200154;2010703 ;1;2
16200187;2010505 ;1;2
16200154;2010706 ;1;2
14200140;2011110 ;1;2
15200140;2010707 ;1;2
16200100;2010601 ;1;2
16200187;2010601 ;1;2
16200187;2010607 ;1;2
16200100;2011115 ;1;2
14200016;2011104 ;1;2
16200154;2010707 ;1;2
14200145;2010903 ;1;2
18200133;20118036;1;2
14200031;2010903 ;1;2
14200078;2010903 ;1;2
14200078;2011120 ;1;2
14200134;2010802 ;1;2
15200008;2010903 ;1;2
14200134;2010902 ;1;2
14200134;2010905 ;1;2
14200074;2010903 ;1;2
18200020;20118031;1;2
14200157;2011001 ;1;2
18200020;20118036;1;2
18200124;20118033;1;2
18200124;20118036;1;2
18200124;20118037;1;2
18200029;20118031;1;2
18200029;20118033;1;2
18200029;20118035;1;2
18200029;20118037;1;2
18200006;20118031;1;2
18200006;20118034;1;2
18200006;20118036;1;2
18200021;20118034;1;2
18200149;20118031;1;2
18200149;20118034;1;2
18200206;20118031;1;2
18200206;20118033;1;2
18200206;20118036;1;2
18200155;20118033;1;2
18200157;20118032;1;2
18200157;20118033;1;2
18200147;20118031;1;2
18200147;20118033;1;2
18200147;20118036;1;2
18200214;20118031;1;2
18200214;20118033;1;2
18200214;20118036;1;2
18200214;20118037;1;2
18200049;20118031;1;2
18200049;20118032;1;2
18200049;20118033;1;2
18200049;20118034;1;2
18200068;20118032;1;2
18200158;20118034;1;2
18200158;20118035;1;2
18200228;20118031;1;2
18200228;20118035;1;2
18200037;20118031;1;2
18200037;20118032;1;2
18200037;20118033;1;2
18200037;20118035;1;2
18200037;20118036;1;2
18200237;20118031;1;2
18200237;20118032;1;2
18200237;20118033;1;2
18200237;20118035;1;2
18200237;20118036;1;2
13200177;201105  ;1;2
13200205;201103  ;1;2
13200037;201103  ;1;2
13200037;201105  ;1;2
12200031;201203M ;1;2
12200031;201211  ;1;2
17200236;2011116 ;1;2
13200073;201203M ;2;2
13200172;201203M ;2;2
17200192;2010302 ;1;2
13200177;209006  ;1;2
10200084;205006  ;3;2
13200177;201103  ;1;2
13200172;203004  ;5;2
17200241;2010304 ;1;2
13200073;206007  ;3;2
13200073;206008  ;2;2
13200073;206009  ;3;2
13200073;207008  ;2;2
18200242;2010707 ;1;2
09200002;207003  ;1;2
12200031;208008  ;1;2
17200182;2010204 ;1;2
11200182;209006  ;1;2
13200172;205006  ;2;2
13200172;205007  ;1;2
13200172;206007  ;2;2
17200020;2010501 ;1;2
17200187;2010501 ;1;2
17200188;2010301 ;1;2
17200188;2010302 ;1;2
17200192;2010401 ;1;2
16200003;2010404 ;1;2
17200147;2010502 ;1;2
17200236;2010401 ;1;2
14200070;2010304 ;1;2
17200147;2010503 ;1;2
17200020;2010502 ;1;2
17200073;2010502 ;1;2
16200118;2010401 ;1;2
16200118;2010402 ;1;2
17200011;2010502 ;1;2
15200048;2010304 ;1;2
17200011;2010504 ;1;2
15200132;2010404 ;1;2
15200132;2010405 ;1;2
16200118;2010404 ;1;2
16200118;2010406 ;1;2
16200118;2010503 ;1;2
16200118;2010507 ;1;2
15200132;2010506 ;1;2
17200222;2010504 ;1;2
17200147;2010505 ;1;2
17200027;2010501 ;1;2
16200004;2010402 ;3;2
16200004;2010404 ;2;2
16200004;2010501 ;1;2
16200004;2010506 ;2;2
17200040;2010504 ;1;2
15200128;2010405 ;1;2
15200128;2010505 ;1;2
15200128;2011115 ;1;2
17200231;2010501 ;1;2
17200231;2010503 ;1;2
17200231;2010504 ;1;2
17200135;2010404 ;1;2
17200135;2010405 ;2;2
17200135;2010501 ;1;2
16200035;2010606 ;2;2
17200212;2010206 ;2;2
17200212;2010301 ;1;2
13200166;206001  ;5;2
15200133;2010504 ;1;2
14200139;2011001 ;1;2
16200133;2010502 ;1;2
16200133;2010504 ;1;2
18200218;20118031;1;2
18200218;20118032;1;2
16200133;2010604 ;1;2
16200133;2010606 ;1;2
16200133;2010706 ;1;2
16200150;2010603 ;1;2
15200113;2010503 ;1;2
15200113;2010507 ;1;2
15200046;2010502 ;1;2
14200162;2010607 ;1;2
14200162;2010703 ;1;2
