cod_escuela;cod_semestre;cod_alumno;cod_plan;cod_asignatura;num_rep
1;20191;00110574;2009  ;206008  ;3
1;20191;00110574;2009  ;207008  ;1
1;20191;08200056;2009  ;209007  ;2
1;20191;00110574;2009  ;207010  ;3
1;20191;04200115;2009  ;208009  ;1
1;20191;04200115;2009  ;209003  ;2
1;20191;04200115;2009  ;209005M ;1
1;20191;04200115;2009  ;209006  ;1
1;20191;00110574;2009  ;208003  ;1
1;20191;07200186;2009  ;205006  ;3
1;20191;04200015;2009  ;207002  ;4
1;20191;04200015;2009  ;207007  ;2
1;20191;03200028;2009  ;201203M ;1
1;20191;05200003;2009  ;204004  ;2
1;20191;05200003;2009  ;206008  ;6
1;20191;03200028;2009  ;206008  ;3
1;20191;05200003;2009  ;208007  ;1
1;20191;03200028;2009  ;208010  ;1
1;20191;07200122;2009  ;201101  ;1
1;20191;07200122;2009  ;201103  ;1
1;20191;08200045;2009  ;201103  ;1
1;20191;08200169;2009  ;201207  ;1
1;20191;07200121;2009  ;201105  ;2
1;20191;02200045;2009  ;201210  ;1
1;20191;06200206;2009  ;201103  ;1
1;20191;942004  ;2009  ;201205  ;1
1;20191;05200117;2009  ;208001  ;1
1;20191;05200117;2009  ;208009  ;1
1;20191;973021  ;2009  ;203008  ;1
1;20191;973021  ;2009  ;206008  ;3
1;20191;973021  ;2009  ;206010  ;3
1;20191;973021  ;2009  ;206011  ;4
1;20191;16200001;2014  ;2010504 ;2
1;20191;16200199;2014  ;2010304 ;3
1;20191;16200199;2014  ;2010601 ;1
1;20191;13200104;2009  ;201101  ;1
1;20191;17200197;2014  ;2010404 ;2
1;20191;17200199;2014  ;2010302 ;3
1;20191;17200199;2014  ;2010303 ;2
1;20191;14200111;2014  ;2010505 ;2
1;20191;14200111;2014  ;2010601 ;1
1;20191;14200111;2014  ;2010606 ;1
1;20191;14200111;2014  ;2010607 ;1
1;20191;14200111;2014  ;2010801 ;1
1;20191;14200111;2014  ;2011115 ;1
1;20191;17200199;2014  ;2010405 ;1
1;20191;13200104;2009  ;208008  ;3
1;20191;17200199;2014  ;2010503 ;1
1;20191;17200042;2014  ;2010204 ;2
1;20191;14200073;2014  ;2010607 ;2
1;20191;14200073;2014  ;2010704 ;2
1;20191;16200111;2014  ;2010503 ;2
1;20191;12200030;2009  ;201204  ;1
1;20191;12200030;2009  ;207010  ;2
1;20191;13200087;2009  ;201203M ;2
1;20191;13200087;2009  ;208003  ;1
1;20191;13200087;2009  ;208008  ;1
1;20191;13200087;2009  ;208010  ;1
1;20191;14200084;2014  ;2010303 ;2
1;20191;14200084;2014  ;2010305 ;2
1;20191;14200084;2014  ;2010306 ;1
1;20191;14200084;2014  ;2010503 ;1
1;20191;14200084;2014  ;2010706 ;2
1;20191;15200022;2014  ;2010504 ;2
1;20191;11200189;2009  ;204006  ;1
1;20191;15200145;2014  ;2010303 ;2
1;20191;15200145;2014  ;2010304 ;1
1;20191;15200145;2014  ;2010305 ;1
1;20191;11200189;2009  ;205009  ;6
1;20191;15200145;2014  ;2010401 ;1
1;20191;15200145;2014  ;2010402 ;1
1;20191;11200189;2009  ;206009  ;1
1;20191;16200183;2014  ;2010603 ;1
1;20191;14200066;2014  ;2010402 ;1
1;20191;14200066;2014  ;2010503 ;5
1;20191;14200066;2014  ;2010506 ;5
1;20191;14200066;2014  ;2010601 ;1
1;20191;14200066;2014  ;2010607 ;1
1;20191;14200066;2014  ;2010804 ;1
1;20191;14200066;2014  ;2010805 ;1
1;20191;18200241;2014  ;2010503 ;1
1;20191;18200241;2014  ;2010104 ;2
1;20191;18200241;2014  ;2010203 ;1
1;20191;15200109;2014  ;2010401 ;2
1;20191;15200109;2014  ;2010405 ;1
1;20191;15200109;2014  ;2010504 ;1
1;20191;16200113;2014  ;2010405 ;2
1;20191;16200113;2014  ;2010502 ;2
1;20191;16200113;2014  ;2010503 ;2
1;20191;16200113;2014  ;2010505 ;2
1;20191;16200113;2014  ;2010506 ;2
1;20191;16200198;2014  ;2010607 ;2
1;20191;16200198;2014  ;2010701 ;1
1;20191;16200121;2014  ;2010204 ;3
1;20191;16200121;2014  ;2010205 ;1
1;20191;16200121;2014  ;2010206 ;2
1;20191;15200006;2014  ;2010304 ;5
1;20191;15200006;2014  ;2010305 ;5
1;20191;13200098;2009  ;201211  ;1
1;20191;17200190;2014  ;2010303 ;2
1;20191;15200006;2014  ;2010405 ;1
1;20191;15200006;2014  ;2010501 ;2
1;20191;15200006;2014  ;2010503 ;2
1;20191;13200098;2009  ;207002  ;1
1;20191;13200098;2009  ;207010  ;3
1;20191;13200098;2009  ;208008  ;1
1;20191;15200006;2014  ;2010602 ;1
1;20191;17200142;2014  ;2010203 ;2
1;20191;14200128;2014  ;2010302 ;5
1;20191;17200038;2014  ;2010306 ;3
1;20191;14200114;2014  ;2010605 ;1
1;20191;17200038;2014  ;2010402 ;2
1;20191;14200114;2014  ;2010706 ;2
1;20191;14200114;2014  ;2010707 ;2
1;20191;15200012;2014  ;2010505 ;3
1;20191;14200114;2014  ;2010806 ;3
1;20191;14200114;2014  ;2010905 ;1
1;20191;16200163;2014  ;2010501 ;1
1;20191;15200012;2014  ;2010805 ;1
1;20191;14200128;2014  ;2010503 ;2
1;20191;14200128;2014  ;2010504 ;1
1;20191;14200128;2014  ;2010507 ;1
1;20191;14200128;2014  ;2010601 ;1
1;20191;14200128;2014  ;2010603 ;1
1;20191;16200163;2014  ;2010503 ;2
1;20191;16200163;2014  ;2010507 ;1
1;20191;16200163;2014  ;2010606 ;1
1;20191;14200030;2014  ;2010601 ;1
1;20191;14200014;2014  ;2010802 ;1
1;20191;14200014;2014  ;2010805 ;2
1;20191;14200014;2014  ;2011110 ;1
1;20191;14200030;2014  ;2010707 ;2
1;20191;14200030;2014  ;2010804 ;1
1;20191;10200185;2009  ;201101  ;2
1;20191;10200185;2009  ;208009  ;1
1;20191;17200162;2014  ;2010203 ;2
1;20191;17200069;2014  ;2010306 ;3
1;20191;17200069;2014  ;2010401 ;1
1;20191;17200069;2014  ;2010402 ;1
1;20191;17200069;2014  ;2010404 ;1
1;20191;17200069;2014  ;2010503 ;1
1;20191;11200079;2009  ;201211  ;1
1;20191;16200126;2014  ;2010504 ;2
1;20191;17200162;2014  ;2010304 ;1
1;20191;17200055;2014  ;2010402 ;1
