cod_escuela;cod_semestre;cod_alumno;cod_plan;cod_asignatura;num_rep
1;20202;00110574;2009  ;208003  ;1
1;20202;00110574;2009  ;207008  ;1
1;20202;00110574;2009  ;206008  ;5
1;20202;00110574;2009  ;202009  ;2
1;20202;00110878;2009  ;201211  ;1
1;20202;00110878;2009  ;201205  ;1
1;20202;00115103;2009  ;206001  ;2
1;20202;00115103;2009  ;204006  ;3
1;20202;00115103;2009  ;207007  ;2
1;20202;01113991;2009  ;202009  ;2
1;20202;01114126;2009  ;207003  ;1
1;20202;01114197;2009  ;206001  ;1
1;20202;01114197;2009  ;207008  ;1
1;20202;01114197;2009  ;207003  ;1
1;20202;01114197;2009  ;206008  ;1
1;20202;01114197;2009  ;208009  ;1
1;20202;02200045;2009  ;205006  ;1
1;20202;02200045;2009  ;201205  ;1
1;20202;02200045;2009  ;201105  ;2
1;20202;02200071;2009  ;201105  ;2
1;20202;02201005;2009  ;206010  ;2
1;20202;02201005;2009  ;206008  ;2
1;20202;02201005;2009  ;204004  ;1
1;20202;02201005;2009  ;206011  ;2
1;20202;02201005;2009  ;206007  ;1
1;20202;03200028;2009  ;208010  ;1
1;20202;03200028;2009  ;201203M ;1
1;20202;04200015;2009  ;208007  ;1
1;20202;04200015;2009  ;208009  ;1
1;20202;04200015;2009  ;208001  ;1
1;20202;04200015;2009  ;208003  ;1
1;20202;04200054;2009  ;208009  ;3
1;20202;04200054;2009  ;208008  ;1
1;20202;04200054;2009  ;207010  ;5
1;20202;04200054;2009  ;205006  ;2
1;20202;05200003;2009  ;208003  ;1
1;20202;05200005;2009  ;208003  ;3
1;20202;05200005;2009  ;209006  ;1
1;20202;05200009;2009  ;205007  ;3
1;20202;05200009;2009  ;207010  ;1
1;20202;05200009;2009  ;206001  ;1
1;20202;05200009;2009  ;206009  ;1
1;20202;05200009;2009  ;206010  ;1
1;20202;05200009;2009  ;206007  ;1
1;20202;05200017;2009  ;201105  ;4
1;20202;05200046;2009  ;204002  ;1
1;20202;05200046;2009  ;205010  ;3
1;20202;05200046;2009  ;204001  ;1
1;20202;05200053;2009  ;201203M ;2
1;20202;05200053;2009  ;208008  ;1
1;20202;05200053;2009  ;208009  ;1
1;20202;05200053;2009  ;208007  ;1
1;20202;05200100;2009  ;202001  ;1
1;20202;05200100;2009  ;205010  ;1
1;20202;05200100;2009  ;203005  ;1
1;20202;05200117;2009  ;208003  ;1
1;20202;05200127;2009  ;208009  ;3
1;20202;05200127;2009  ;209003  ;2
1;20202;06200015;2009  ;207007  ;2
1;20202;06200015;2009  ;207002  ;2
1;20202;06200015;2009  ;209008  ;1
1;20202;06200015;2009  ;207008  ;9
1;20202;06200064;2009  ;201105  ;1
1;20202;06200075;2009  ;205007  ;3
1;20202;06200075;2009  ;201208  ;1
1;20202;06200075;2009  ;201104  ;1
1;20202;06200086;2009  ;201211  ;1
1;20202;06200086;2009  ;209007  ;4
1;20202;06200118;2009  ;201105  ;3
1;20202;06200118;2009  ;208009  ;3
1;20202;06200147;2009  ;209008  ;2
1;20202;06200147;2009  ;209005M ;1
1;20202;06200147;2009  ;202008  ;4
1;20202;06200150;2009  ;201104  ;1
1;20202;06200150;2009  ;208010  ;1
1;20202;06200150;2009  ;208008  ;2
1;20202;06200150;2009  ;201208  ;1
1;20202;06200150;2009  ;208001  ;2
1;20202;06200150;2009  ;208007  ;2
1;20202;06200150;2009  ;209005M ;1
1;20202;06200150;2009  ;208003  ;1
1;20202;06200164;2009  ;209007  ;4
1;20202;06200177;2009  ;208010  ;1
1;20202;06200177;2009  ;201203M ;2
1;20202;06200177;2009  ;209007  ;1
1;20202;06200193;2009  ;207010  ;1
1;20202;06200193;2009  ;206001  ;1
1;20202;06200193;2009  ;207008  ;2
1;20202;07200092;2009  ;201101  ;2
1;20202;07200092;2009  ;209007  ;5
1;20202;07200108;2009  ;205008  ;2
1;20202;07200108;2009  ;205009  ;1
1;20202;07200108;2009  ;205001  ;6
1;20202;07200157;2009  ;201106  ;1
1;20202;08200021;2009  ;201101  ;1
1;20202;08200021;2009  ;208008  ;2
1;20202;08200021;2009  ;201103  ;1
1;20202;08200021;2009  ;201104  ;1
1;20202;08200048;2009  ;207010  ;1
1;20202;08200061;2009  ;208010  ;2
1;20202;08200061;2009  ;207003  ;1
1;20202;08200061;2009  ;201206  ;1
1;20202;08200073;2009  ;208001  ;2
1;20202;08200073;2009  ;208008  ;2
1;20202;08200081;2009  ;206011  ;7
1;20202;08200081;2009  ;207010  ;1
1;20202;08200081;2009  ;204006  ;2
1;20202;08200081;2009  ;204004  ;1
1;20202;08200081;2009  ;204007  ;1
1;20202;08200087;2009  ;205006  ;1
1;20202;08200087;2009  ;208010  ;2
1;20202;08200112;2009  ;201206  ;1
1;20202;08200112;2009  ;209007  ;3
1;20202;08200153;2009  ;205001  ;1
1;20202;08200153;2009  ;205009  ;10
1;20202;08200153;2009  ;207008  ;1
1;20202;08200153;2009  ;206008  ;1
1;20202;08200163;2009  ;209006  ;2
1;20202;08200163;2009  ;201203M ;1
1;20202;08200163;2009  ;201104  ;1
1;20202;08200163;2009  ;209001M ;1
1;20202;08200163;2009  ;208009  ;1
1;20202;08200163;2009  ;208008  ;2
1;20202;08200163;2009  ;208003  ;3
1;20202;08200182;2009  ;209005M ;1
1;20202;08200182;2009  ;201106  ;2
1;20202;08200182;2009  ;206009  ;2
1;20202;08200187;2009  ;205010  ;2
1;20202;08200187;2009  ;203001  ;1
1;20202;08200187;2009  ;202003  ;1
1;20202;08200188;2009  ;201101  ;1
1;20202;962909  ;2009  ;206008  ;2
1;20202;962909  ;2009  ;201206  ;1
1;20202;962909  ;2009  ;204001  ;1
1;20202;962909  ;2009  ;205009  ;6
1;20202;973021  ;2009  ;203008  ;1
1;20202;973021  ;2009  ;206008  ;5
1;20202;08160007;2009  ;206008  ;5
1;20202;09200001;2009  ;201101  ;1
1;20202;09200001;2009  ;209007  ;3
1;20202;09200002;2009  ;208003  ;1
1;20202;09200002;2009  ;206011  ;2
1;20202;09200002;2009  ;201106  ;2
1;20202;09200002;2009  ;205006  ;2
1;20202;09200013;2009  ;205007  ;1
1;20202;09200013;2009  ;206007  ;1
1;20202;09200013;2009  ;206011  ;1
1;20202;09200013;2009  ;205006  ;1
1;20202;09200016;2009  ;208008  ;2
1;20202;09200027;2009  ;208008  ;3
1;20202;09200082;2009  ;201204  ;1
1;20202;09200102;2009  ;201105  ;1
1;20202;09200187;2009  ;204002  ;1
1;20202;09200187;2009  ;205010  ;2
1;20202;09200187;2009  ;204001  ;1
1;20202;09200187;2009  ;203005  ;4
1;20202;10200073;2009  ;209007  ;1
1;20202;10200078;2009  ;209007  ;1
1;20202;10200085;2009  ;209007  ;3
1;20202;10200089;2009  ;208010  ;1
1;20202;10200089;2009  ;208008  ;2
1;20202;10200107;2009  ;209007  ;1
1;20202;10200112;2009  ;209001M ;1
1;20202;10200112;2009  ;209007  ;3
1;20202;10200133;2009  ;207002  ;2
1;20202;10200133;2009  ;207008  ;2
1;20202;10200185;2009  ;201105  ;2
1;20202;10200203;2009  ;206009  ;1
1;20202;10200230;2009  ;206010  ;2
1;20202;10200230;2009  ;206011  ;2
1;20202;10200230;2009  ;206007  ;2
1;20202;10200238;2009  ;205009  ;4
1;20202;10200238;2009  ;205001  ;2
1;20202;11200045;2009  ;206010  ;2
1;20202;11200045;2009  ;208007  ;1
1;20202;11200045;2009  ;206009  ;2
1;20202;11200045;2009  ;208001  ;1
1;20202;11200045;2009  ;206008  ;2
1;20202;11200054;2009  ;203006  ;2
1;20202;11200061;2009  ;209007  ;1
1;20202;11200061;2009  ;201205  ;2
1;20202;11200063;2009  ;206010  ;1
1;20202;11200063;2009  ;209005M ;1
1;20202;11200063;2009  ;206007  ;3
1;20202;11200063;2009  ;207008  ;1
1;20202;11200063;2009  ;206009  ;1
1;20202;11200063;2009  ;206008  ;1
1;20202;11200063;2009  ;201208  ;1
1;20202;11200069;2009  ;206011  ;1
1;20202;11200069;2009  ;208008  ;1
1;20202;11200080;2009  ;205007  ;1
1;20202;11200080;2009  ;205001  ;3
1;20202;11200080;2009  ;205009  ;4
1;20202;11200099;2009  ;207003  ;1
1;20202;11200099;2009  ;206011  ;1
1;20202;11200189;2009  ;204006  ;2
1;20202;11200189;2009  ;205001  ;1
1;20202;11200189;2009  ;206009  ;2
1;20202;11200200;2009  ;201204  ;1
1;20202;12200014;2009  ;209007  ;4
1;20202;12200021;2009  ;206001  ;3
1;20202;12200021;2009  ;205008  ;3
1;20202;12200021;2009  ;209005M ;1
1;20202;12200021;2009  ;205006  ;2
1;20202;12200021;2009  ;206007  ;2
1;20202;12200021;2009  ;206008  ;1
1;20202;12200021;2009  ;209008  ;1
1;20202;12200030;2009  ;201207  ;1
1;20202;12200030;2009  ;209008  ;1
1;20202;12200030;2009  ;201204  ;1
1;20202;12200030;2009  ;208007  ;1
1;20202;12200030;2009  ;208001  ;1
1;20202;12200030;2009  ;208003  ;1
1;20202;12200031;2009  ;201106  ;1
1;20202;12200071;2009  ;206008  ;3
1;20202;12200071;2009  ;206007  ;1
1;20202;12200079;2009  ;208010  ;2
1;20202;12200079;2009  ;208009  ;1
1;20202;12200079;2009  ;209008  ;3
1;20202;12200079;2009  ;201211  ;3
1;20202;12200079;2009  ;208008  ;3
1;20202;12200079;2009  ;209005M ;1
1;20202;12200090;2009  ;207003  ;1
1;20202;12200097;2009  ;206010  ;1
1;20202;12200097;2009  ;201203M ;1
1;20202;12200097;2009  ;205007  ;3
1;20202;12200116;2009  ;208008  ;2
1;20202;12200129;2009  ;201106  ;2
1;20202;12200129;2009  ;209007  ;5
1;20202;12200171;2009  ;207003  ;1
1;20202;12200171;2009  ;201204  ;2
1;20202;12200171;2009  ;207009  ;2
1;20202;13200030;2009  ;201210  ;1
1;20202;13200030;2009  ;201206  ;1
1;20202;13200030;2009  ;209007  ;4
1;20202;13200031;2009  ;209007  ;2
1;20202;13200038;2009  ;203005  ;2
1;20202;13200038;2009  ;202004  ;2
1;20202;13200038;2009  ;204004  ;2
1;20202;13200038;2009  ;203007  ;1
1;20202;13200038;2009  ;202008  ;3
1;20202;13200038;2009  ;202009  ;1
1;20202;13200041;2009  ;201101  ;2
1;20202;13200046;2009  ;209007  ;3
1;20202;13200073;2009  ;207008  ;2
1;20202;13200073;2009  ;206008  ;3
1;20202;13200073;2009  ;201203M ;2
1;20202;13200080;2009  ;205006  ;4
1;20202;13200080;2009  ;209003  ;1
1;20202;13200087;2009  ;208008  ;3
1;20202;13200087;2009  ;201104  ;1
1;20202;13200087;2009  ;208010  ;3
1;20202;13200087;2009  ;209003  ;1
1;20202;13200088;2009  ;208009  ;1
1;20202;13200088;2009  ;208008  ;3
1;20202;13200088;2009  ;207003  ;3
1;20202;13200093;2009  ;205010  ;2
1;20202;13200093;2009  ;204001  ;3
1;20202;13200093;2009  ;205009  ;1
1;20202;13200093;2009  ;204007  ;3
1;20202;13200098;2009  ;208009  ;1
1;20202;13200098;2009  ;208010  ;1
1;20202;13200139;2009  ;201105  ;2
1;20202;13200148;2009  ;203005  ;1
1;20202;13200149;2009  ;208008  ;2
1;20202;13200149;2009  ;209005M ;1
1;20202;13200150;2009  ;205007  ;1
1;20202;13200150;2009  ;206011  ;1
1;20202;13200158;2009  ;209007  ;1
1;20202;13200159;2009  ;209008  ;1
1;20202;13200159;2009  ;207009  ;2
1;20202;13200159;2009  ;201106  ;1
1;20202;13200159;2009  ;207003  ;3
1;20202;13200159;2009  ;208009  ;1
1;20202;13200159;2009  ;209005M ;1
1;20202;13200166;2009  ;208008  ;1
1;20202;13200168;2009  ;209007  ;1
1;20202;13200172;2009  ;203004  ;6
1;20202;13200172;2009  ;205006  ;2
1;20202;13200172;2009  ;205007  ;1
1;20202;13200172;2009  ;201203M ;2
1;20202;13200175;2009  ;206007  ;2
1;20202;13200175;2009  ;207010  ;4
1;20202;13200175;2009  ;201203M ;1
1;20202;13200175;2009  ;205009  ;3
1;20202;13200175;2009  ;205007  ;1
1;20202;13200193;2009  ;206010  ;2
1;20202;13200193;2009  ;206008  ;1
1;20202;13200193;2009  ;206011  ;1
1;20202;13200193;2009  ;205006  ;1
1;20202;14200002;2014  ;2010703 ;3
1;20202;14200002;2014  ;2010706 ;2
1;20202;14200009;2014  ;2010806 ;2
1;20202;14200019;2014  ;2010806 ;2
1;20202;14200024;2014  ;2010901 ;2
1;20202;14200026;2014  ;2010802 ;1
1;20202;14200026;2014  ;2010702 ;1
1;20202;14200028;2014  ;2010903 ;1
1;20202;14200028;2014  ;2010802 ;2
1;20202;14200028;2014  ;2011003 ;1
1;20202;14200028;2014  ;2010706 ;1
1;20202;14200028;2014  ;2010602 ;2
1;20202;14200028;2014  ;2011102 ;1
1;20202;14200028;2014  ;2011103 ;1
1;20202;14200030;2014  ;2010706 ;1
1;20202;14200030;2014  ;2010802 ;1
1;20202;14200030;2014  ;2010903 ;1
1;20202;14200030;2014  ;2011103 ;1
1;20202;14200034;2014  ;2010301 ;1
1;20202;14200034;2014  ;2010306 ;1
1;20202;14200034;2014  ;2010304 ;1
1;20202;14200034;2014  ;2010302 ;1
1;20202;14200035;2014  ;2010505 ;2
1;20202;14200035;2014  ;2010502 ;3
1;20202;14200036;2014  ;2010507 ;1
1;20202;14200036;2014  ;2010502 ;1
1;20202;14200036;2014  ;2011103 ;1
1;20202;14200036;2014  ;2010707 ;2
1;20202;14200037;2014  ;2011004 ;1
1;20202;14200037;2014  ;2011001 ;2
1;20202;14200040;2014  ;2010706 ;1
1;20202;14200063;2014  ;2011002 ;1
