cod_escuela;cod_semestre;cod_alumno;cod_plan;cod_asignatura;num_rep
1;20192;05200053;2009  ;201104  ;2
1;20192;05200053;2009  ;201203M ;2
1;20192;05200053;2009  ;207008  ;2
1;20192;05200053;2009  ;208007  ;1
1;20192;02200002;2009  ;201203M ;1
1;20192;08200008;2009  ;201203M ;4
1;20192;02200002;2009  ;205006  ;5
1;20192;06200015;2009  ;207002  ;2
1;20192;02200002;2009  ;206008  ;1
1;20192;02200002;2009  ;207003  ;2
1;20192;02200002;2009  ;207007  ;1
1;20192;02200002;2009  ;207008  ;1
1;20192;06200015;2009  ;207007  ;2
1;20192;06200015;2009  ;207008  ;7
1;20192;06200015;2009  ;209008  ;1
1;20192;07200055;2009  ;201210  ;1
1;20192;08200081;2009  ;201203M ;8
1;20192;07200055;2009  ;204004  ;2
1;20192;08200009;2009  ;208007  ;2
1;20192;08200081;2009  ;204004  ;1
1;20192;07200031;2009  ;208008  ;4
1;20192;08200081;2009  ;204006  ;2
1;20192;08200081;2009  ;204007  ;1
1;20192;08200081;2009  ;206011  ;5
1;20192;08200081;2009  ;207010  ;1
1;20192;05200003;2009  ;204004  ;2
1;20192;06200147;2009  ;202008  ;2
1;20192;05200003;2009  ;206008  ;6
1;20192;04200015;2009  ;207002  ;4
1;20192;04200015;2009  ;207007  ;2
1;20192;05200003;2009  ;208007  ;1
1;20192;06200147;2009  ;205008  ;1
1;20192;03200028;2009  ;201203M ;1
1;20192;08200090;2009  ;201207  ;2
1;20192;03200028;2009  ;206008  ;3
1;20192;03200028;2009  ;208010  ;1
1;20192;08200090;2009  ;208001  ;1
1;20192;08200090;2009  ;208007  ;1
1;20192;08200090;2009  ;208008  ;3
1;20192;05200046;2009  ;203001  ;2
1;20192;05200046;2009  ;205006  ;2
1;20192;05200046;2009  ;205010  ;1
1;20192;08200182;2009  ;206008  ;2
1;20192;973021  ;2009  ;203008  ;1
1;20192;06200164;2009  ;209007  ;2
1;20192;973021  ;2009  ;206008  ;3
1;20192;973021  ;2009  ;206010  ;3
1;20192;973021  ;2009  ;206011  ;4
1;20192;04200115;2009  ;201203M ;2
1;20192;07200092;2009  ;201203M ;3
1;20192;06200086;2009  ;201211  ;1
1;20192;00110574;2009  ;202009  ;2
1;20192;04200115;2009  ;208009  ;1
1;20192;04200115;2009  ;209003  ;2
1;20192;04200115;2009  ;209005M ;1
1;20192;04200115;2009  ;209006  ;1
1;20192;07200092;2009  ;201101  ;2
1;20192;00110574;2009  ;206008  ;3
1;20192;06200086;2009  ;209007  ;2
1;20192;00110574;2009  ;207008  ;1
1;20192;00110574;2009  ;207010  ;3
1;20192;00110574;2009  ;208003  ;1
1;20192;01113991;2009  ;202009  ;2
1;20192;07200092;2009  ;209007  ;3
1;20192;05200127;2009  ;201203M ;4
1;20192;08200153;2009  ;205001  ;1
1;20192;04200026;2009  ;202001  ;2
1;20192;08200153;2009  ;205009  ;7
1;20192;08200153;2009  ;206008  ;1
1;20192;04200053;2009  ;201208  ;1
1;20192;08200153;2009  ;207008  ;1
1;20192;04200053;2009  ;201210  ;4
1;20192;05200127;2009  ;206008  ;7
1;20192;05200127;2009  ;207002  ;3
1;20192;05200127;2009  ;208007  ;2
1;20192;05200127;2009  ;208009  ;2
1;20192;05200127;2009  ;209003  ;2
1;20192;01113991;2009  ;209005M ;2
1;20192;00115103;2009  ;201106  ;2
1;20192;08200213;2009  ;201104  ;2
1;20192;08200213;2009  ;201105  ;2
1;20192;00115103;2009  ;204006  ;3
1;20192;01114126;2009  ;205009  ;7
1;20192;00115103;2009  ;205009  ;7
1;20192;00115103;2009  ;206001  ;2
1;20192;00115103;2009  ;207007  ;2
1;20192;00115103;2009  ;208007  ;2
1;20192;06200176;2009  ;201105  ;2
1;20192;01114126;2009  ;206008  ;3
1;20192;01114126;2009  ;207002  ;2
1;20192;00110878;2009  ;201203M ;2
1;20192;00110878;2009  ;201211  ;1
1;20192;05200161;2009  ;201105  ;2
1;20192;07200108;2009  ;204004  ;6
1;20192;07200108;2009  ;205001  ;4
1;20192;07200108;2009  ;205008  ;1
1;20192;07200108;2009  ;205009  ;1
1;20192;00110878;2009  ;208008  ;1
1;20192;08200056;2009  ;201101  ;2
1;20192;08200056;2009  ;209007  ;2
1;20192;06200193;2009  ;206001  ;1
1;20192;06200193;2009  ;206010  ;3
1;20192;06200193;2009  ;207007  ;4
1;20192;06200193;2009  ;207008  ;2
1;20192;06200193;2009  ;207010  ;1
1;20192;08200061;2009  ;206007  ;2
1;20192;07200186;2009  ;201210  ;1
1;20192;07200186;2009  ;205006  ;3
1;20192;18200132;2018  ;20118031;1
1;20192;18200132;2018  ;20118035;1
1;20192;17200216;2014  ;2010404 ;1
1;20192;17200216;2014  ;2010304 ;2
1;20192;11200061;2009  ;201203M ;1
1;20192;11200061;2009  ;201205  ;1
1;20192;11200061;2009  ;201208  ;1
1;20192;16200001;2014  ;2010504 ;2
1;20192;13200104;2009  ;201101  ;1
1;20192;17200197;2014  ;2010404 ;2
1;20192;11200061;2009  ;208008  ;3
1;20192;14200104;2014  ;2010501 ;3
1;20192;13200104;2009  ;208008  ;3
1;20192;09200001;2009  ;201101  ;1
1;20192;18200241;2014  ;2010503 ;1
1;20192;16200105;2014  ;2010204 ;3
1;20192;14200002;2014  ;2010303 ;4
1;20192;17200135;2014  ;2010404 ;1
1;20192;16200105;2014  ;2010305 ;1
1;20192;17200135;2014  ;2010405 ;2
1;20192;16200105;2014  ;2010405 ;1
1;20192;16200105;2014  ;2010503 ;2
1;20192;14200002;2014  ;2010501 ;3
1;20192;14200060;2014  ;2010706 ;2
1;20192;14200060;2014  ;2010802 ;1
1;20192;09200001;2009  ;209007  ;2
1;20192;15200103;2014  ;2010601 ;2
1;20192;15200103;2014  ;2010606 ;2
1;20192;16200105;2014  ;2010601 ;1
1;20192;16200105;2014  ;2011113 ;1
1;20192;14200002;2014  ;2010604 ;1
1;20192;14200066;2014  ;2010402 ;1
1;20192;14200002;2014  ;2010703 ;2
1;20192;14200002;2014  ;2010706 ;1
1;20192;14200066;2014  ;2010503 ;5
1;20192;17200042;2014  ;2010204 ;2
1;20192;14200066;2014  ;2010506 ;5
1;20192;14200066;2014  ;2010601 ;1
1;20192;14200066;2014  ;2010607 ;1
1;20192;14200066;2014  ;2010804 ;1
1;20192;14200066;2014  ;2010805 ;1
1;20192;17200135;2014  ;2010501 ;1
1;20192;16200106;2014  ;2010201 ;1
1;20192;16200106;2014  ;2010203 ;2
1;20192;16200106;2014  ;2010204 ;2
1;20192;16200106;2014  ;2010205 ;1
1;20192;10200073;2009  ;208008  ;3
1;20192;16200106;2014  ;2010206 ;2
1;20192;16200113;2014  ;2010405 ;2
1;20192;09200187;2009  ;203001  ;3
1;20192;15200006;2014  ;2010304 ;5
1;20192;15200006;2014  ;2010305 ;5
1;20192;15200006;2014  ;2010405 ;1
1;20192;15200006;2014  ;2010501 ;2
1;20192;16200113;2014  ;2010502 ;2
1;20192;15200006;2014  ;2010503 ;2
1;20192;09200187;2009  ;203005  ;2
1;20192;15200006;2014  ;2010602 ;1
1;20192;17200142;2014  ;2010203 ;2
1;20192;14200128;2014  ;2010302 ;5
1;20192;16200113;2014  ;2010503 ;2
1;20192;10200150;2009  ;205006  ;1
1;20192;09200187;2009  ;205006  ;3
1;20192;13200093;2009  ;204001  ;3
1;20192;13200093;2009  ;204007  ;3
1;20192;09200187;2009  ;205010  ;1
1;20192;13200093;2009  ;205006  ;3
1;20192;13200093;2009  ;205007  ;2
1;20192;13200093;2009  ;205009  ;1
1;20192;13200093;2009  ;205010  ;2
1;20192;16200111;2014  ;2010503 ;2
1;20192;16200113;2014  ;2010505 ;2
1;20192;16200012;2014  ;2010304 ;1
1;20192;10200150;2009  ;206001  ;1
1;20192;16200012;2014  ;2010305 ;1
1;20192;10200150;2009  ;206010  ;3
1;20192;14200073;2014  ;2010607 ;2
1;20192;14200128;2014  ;2010503 ;2
1;20192;12200145;2009  ;208008  ;2
1;20192;14200128;2014  ;2010504 ;1
1;20192;12200145;2009  ;208010  ;2
1;20192;14200128;2014  ;2010507 ;1
1;20192;18200241;2014  ;2010104 ;2
1;20192;18200241;2014  ;2010203 ;1
1;20192;14200128;2014  ;2010601 ;1
1;20192;14200128;2014  ;2010603 ;1
1;20192;10200150;2009  ;207003  ;1
1;20192;10200150;2009  ;207007  ;2
1;20192;14200073;2014  ;2010704 ;2
1;20192;10200150;2009  ;207008  ;2
1;20192;16200012;2014  ;2010401 ;2
1;20192;16200113;2014  ;2010506 ;2
1;20192;13200008;2009  ;201105  ;2
1;20192;15200109;2014  ;2010401 ;2
1;20192;15200109;2014  ;2010405 ;1
1;20192;15200012;2014  ;2010505 ;3
1;20192;15200012;2014  ;2010805 ;1
1;20192;16200196;2014  ;2010405 ;2
1;20192;15200109;2014  ;2010504 ;1
1;20192;09200013;2009  ;204004  ;3
1;20192;09200013;2009  ;205009  ;2
1;20192;15200191;2009  ;204002  ;2
1;20192;09200211;2009  ;201211  ;2
1;20192;17200069;2014  ;2010306 ;3
1;20192;15200164;2014  ;2010504 ;1
1;20192;15200164;2014  ;2010505 ;2
1;20192;15200191;2009  ;205009  ;1
1;20192;17200069;2014  ;2010401 ;1
1;20192;13200151;2009  ;203007  ;3
1;20192;15200191;2009  ;207009  ;1
1;20192;13200151;2009  ;204001  ;2
1;20192;15200164;2014  ;2010507 ;2
1;20192;13200151;2009  ;205006  ;1
1;20192;17200069;2014  ;2010402 ;1
1;20192;17200069;2014  ;2010404 ;1
1;20192;15200164;2014  ;2010601 ;1
1;20192;15200164;2014  ;2010602 ;1
1;20192;15200164;2014  ;2010606 ;1
1;20192;16200198;2014  ;2010607 ;2
1;20192;17200069;2014  ;2010503 ;1
1;20192;17200068;2014  ;2010303 ;2
1;20192;16200198;2014  ;2010701 ;1
1;20192;17200054;2014  ;2010302 ;2
1;20192;16200115;2014  ;2010303 ;2
1;20192;16200115;2014  ;2010405 ;1
1;20192;17200054;2014  ;2010303 ;3
1;20192;17200054;2014  ;2010304 ;3
1;20192;11200063;2009  ;205008  ;2
1;20192;17200054;2014  ;2010305 ;3
1;20192;11200063;2009  ;206007  ;1
1;20192;11200063;2009  ;207010  ;1
1;20192;17200054;2014  ;2010306 ;1
1;20192;15200119;2014  ;2010106 ;2
1;20192;16200120;2014  ;2010401 ;1
1;20192;16200120;2014  ;2010402 ;2
1;20192;16200120;2014  ;2010403 ;1
1;20192;14200014;2014  ;2010802 ;1
1;20192;14200014;2014  ;2010805 ;2
1;20192;14200014;2014  ;2011110 ;1
1;20192;16200120;2014  ;2010404 ;1
1;20192;16200120;2014  ;2010405 ;1
1;20192;15200119;2014  ;2010201 ;2
1;20192;15200119;2014  ;2010302 ;1
1;20192;16200121;2014  ;2010204 ;3
1;20192;16200121;2014  ;2010205 ;1
1;20192;16200121;2014  ;2010206 ;2
1;20192;16200123;2014  ;2010204 ;4
1;20192;14200084;2014  ;2010303 ;2
1;20192;14200084;2014  ;2010305 ;2
1;20192;14200084;2014  ;2010306 ;1
1;20192;16200122;2014  ;2010401 ;1
1;20192;11200069;2009  ;205006  ;2
1;20192;14200084;2014  ;2010503 ;1
1;20192;16200122;2014  ;2010405 ;3
1;20192;11200069;2009  ;206001  ;1
1;20192;16200123;2014  ;2010302 ;3
1;20192;14200132;2014  ;2010502 ;1
1;20192;14200084;2014  ;2010706 ;2
1;20192;14200132;2014  ;2010504 ;2
1;20192;14200132;2014  ;2010505 ;1
1;20192;16200123;2014  ;2010305 ;1
1;20192;14200132;2014  ;2010606 ;1
1;20192;14200132;2014  ;2010805 ;1
1;20192;16200123;2014  ;2010306 ;1
1;20192;10200185;2009  ;201101  ;2
1;20192;18200048;2018  ;20118031;1
1;20192;18200048;2018  ;20118032;1
1;20192;18200048;2018  ;20118033;1
1;20192;18200048;2018  ;20118035;1
1;20192;17200226;2014  ;2010204 ;2
1;20192;17200051;2014  ;2010203 ;3
1;20192;17200226;2014  ;2010305 ;1
1;20192;17200055;2014  ;2010402 ;1
1;20192;17200055;2014  ;2010404 ;2
1;20192;11200076;2009  ;201106  ;1
1;20192;10200185;2009  ;208009  ;1
1;20192;16200126;2014  ;2010504 ;2
1;20192;17200226;2014  ;2010405 ;1
1;20192;17200226;2014  ;2010503 ;1
1;20192;17200226;2014  ;2010505 ;1
1;20192;17200164;2014  ;2010203 ;3
1;20192;17200160;2014  ;2010203 ;3
1;20192;13200159;2009  ;201203M ;3
1;20192;17200160;2014  ;2010204 ;1
1;20192;12200090;2009  ;206001  ;1
1;20192;12200090;2009  ;206007  ;1
1;20192;12200090;2009  ;206009  ;2
1;20192;12200090;2009  ;206011  ;1
1;20192;17200160;2014  ;2010205 ;1
1;20192;17200160;2014  ;2010206 ;3
1;20192;17200160;2014  ;2010301 ;1
1;20192;17200160;2014  ;2011115 ;1
1;20192;11200079;2009  ;201211  ;1
1;20192;11200076;2009  ;203005  ;1
1;20192;14200087;2014  ;2010405 ;1
1;20192;14200087;2014  ;2010501 ;1
1;20192;11200076;2009  ;205006  ;1
1;20192;11200076;2009  ;206007  ;2
1;20192;14200087;2014  ;2010502 ;2
1;20192;15200170;2014  ;2010306 ;4
1;20192;15200170;2014  ;2010401 ;2
1;20192;11200010;2009  ;201105  ;3
1;20192;15200170;2014  ;2010406 ;1
1;20192;16200176;2014  ;2010304 ;1
1;20192;16200176;2014  ;2010305 ;2
1;20192;15200170;2014  ;2010502 ;2
1;20192;16200176;2014  ;2010402 ;1
1;20192;16200176;2014  ;2010405 ;2
1;20192;16200176;2014  ;2010501 ;2
